Datum,Wochentag,DatumNEU,KW,Std.,Log,Schicht,Zeit von,Zeit bis,Dauer Arbeits-zeit,Anzahl MA,Menge N.i. O.,Menge i. O. L4,Menge i. O. L5,Menge Gesamt (Stück),Dauer Org-Mangel,Dauer Anlagen-Ausfall,Störung aufgrund Vormaterial,Dauer Anlagen-Ausfall intern,Dauer Logistik- Defizite,Station/ OP,Bemerkung,Anzahl/ Std.,Fehlercode,Sollzeit/ Stück (Min),Takt Gesamt,Leistung Sollzeit zu Gesamtzeit,Anlagen-Laufzeit (- Org-Mangel),Takt Gesamt2,Leistung Anlage inkl. Anl. ausfall,Anlagen-Laufzeit (- Anlagen-ausfall),Takt Gesamt3,Leistung eff. Anlage ohne Anl.-Ausfall,Produktionszeit(min)/ Std.,Takt Gesamt4,Leistung inkl. defizite,Unnamed: 36,Zeit_von_min,Zeit_bis_min,Bemerkung_norm,Bemerkung_std
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,s,15:00:00,16:00:00,59.99999999999995,5.0,,,7.0,7.0,,,,,,,,,,8.5,8.571428571428564,0.9916666666666675,59.99999999999995,8.571428571428564,0.9916666666666675,59.99999999999995,8.571428571428564,0.9916666666666675,59.99999999999995,8.571428571428564,0.9916666666666675,0.0,900.0,960.0,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,s,14:00:00,15:00:00,59.99999999999995,5.0,,,4.0,4.0,,,20.0,,,,Stirnwände Nacharbeiten ( schleifen ) ,,,8.5,14.999999999999988,0.5666666666666671,59.99999999999995,14.999999999999988,0.5666666666666671,59.99999999999995,14.999999999999988,0.5666666666666671,59.99999999999995,14.999999999999988,0.5666666666666671,0.0,840.0,900.0,stirnwände nacharbeiten ( schleifen ),stirnwände nacharbeiten ( schleifen )
2024-06-25,3,2023-03-30,2023/13,,,s,16:00:00,17:00:00,60.00000000000011,5.0,,,7.0,7.0,,,,,,,,,,8.5,8.571428571428587,0.9916666666666648,60.00000000000011,8.571428571428587,0.9916666666666648,60.00000000000011,8.571428571428587,0.9916666666666648,60.00000000000011,8.571428571428587,0.9916666666666648,0.0,960.0,1020.0,,
2024-06-25,3,2023-03-30,2023/13,,,s,19:00:00,20:00:00,60.00000000000011,5.0,,,5.0,5.0,,,,,,,,,,8.5,12.000000000000021,0.708333333333332,60.00000000000011,12.000000000000021,0.708333333333332,42.00000000000011,8.400000000000022,1.0119047619047592,42.00000000000011,8.400000000000022,1.0119047619047592,0.0,1140.0,1200.0,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,f,07:00:00,08:00:00,59.99999999999995,5.0,,,6.0,6.0,,,,,,,,,,8.5,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,0.0,420.0,480.0,,
