Datum,Wochentag,KW,DatumNEU,Jahr,Monat,Tag,Quartal,Schicht,Zeit von,Zeit bis,Dauer Arbeits-zeit,Anzahl MA,Menge N.i. O.,Menge i. O. L4,Menge i. O. L5,MengeGesamtNIO,Dauer Org-Mangel,Dauer Anlagen-Ausfall,Störung aufgrund Vormaterial,Dauer Anlagen-Ausfall intern,Dauer Logistik- Defizite,Station/ OP,Bemerkung,Anzahl/ Std.,Sollzeit/ Stück (Min),Zeit_von_min,Zeit_bis_min,Station/ OP_raw,Station/ OP_1,Station/ OP_2,Fehlercode,Bemerkung_norm,Bemerkung_std,Störfall,Anzahl Störfälle Zeitfenster
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,f,10:00:00,11:00:00,60.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,229 Bleche mit 230 Bleche gepackt (Umpacken und Bleche aus der Anlage holen),0.0,,600.0,660.0,,,,,229 bleche mit 230 bleche gepackt (umpacken und bleche aus der anlage holen),229 bleche mit 230 bleche gepackt (umpacken und bleche aus der anlage holen),J,2
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,f,10:00:00,11:00:00,60.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,R 01,Falsches Blech,0.0,,600.0,660.0,R 01,R 01,,,falsches blech,falsches blech,J,2
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,f,11:00:00,12:00:00,60.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,4 STW nachgearbeitet ( Rungen Montiert) ,0.0,,660.0,720.0,,,,,4 stw nachgearbeitet ( rungen montiert),4 stw nachgearbeitet ( rungen montiert),J,2
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,f,11:00:00,12:00:00,60.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,40.0,0.0,,Anlage leer gefahren,0.0,,660.0,720.0,,,,,anlage leer gefahren,anlage leer gefahren,J,2
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,f,12:00:00,13:15:00,75.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,15.0,0.0,,Anlage von RobTech angehalten,0.0,,720.0,795.0,,,,,anlage von robtech angehalten,anlage von robtech angehalten,J,3
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,f,12:00:00,13:15:00,75.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,15.0,0.0,,Reinigung,0.0,,720.0,795.0,,,,,reinigung,reinigung,J,3
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,f,12:00:00,13:15:00,75.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,15.0,0.0,,Reinigung,0.0,,720.0,795.0,,,,,reinigung,reinigung,J,3
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,s,13:15:00,14:00:00,45.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,0.0,,Wartungsplan,0.0,,795.0,840.0,,,,,wartungsplan,wartungsplan,J,1
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,s,14:00:00,15:00:00,60.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,840.0,900.0,,,,,,,N,0
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,s,15:00:00,16:00:00,60.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,900.0,960.0,,,,,,,N,0
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,s,16:00:00,17:00:00,60.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,960.0,1020.0,,,,,,,N,0
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,s,17:30:00,18:00:00,30.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1050.0,1080.0,,,,,,,N,0
2025-01-20,1,2025/04,2025-01-20,2025,1,20,1,s,18:00:00,19:00:00,60.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1080.0,1140.0,,,,,,,N,0
